"item_code","Original_crop","Item Group Code","Item Group","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"249","Coconut",1714,"Crops Primary","Coconuts",1,NA,"80119","080112, 080119","1460"
"249","Coconuts",1714,"Crops Primary","Coconuts",1,NA,"80119","080112, 080119","1460"
"249","Cocoon Unr.&Waste",1714,"Crops Primary","Coconuts",1,NA,"80119","080112, 080119","1460"
"254","Palm oil",1714,"Crops Primary","Oil palm fruit",1,NA,"120799","120710","1491.01"
"254","Palm kernel oil",1714,"Crops Primary","Oil palm fruit",1,NA,"120799","120710","1491.01"
"254","Palm kernels",1714,"Crops Primary","Oil palm fruit",1,NA,"120799","120710","1491.01"
"254","Oil-palm",1714,"Crops Primary","Oil palm fruit",1,NA,"120799","120710","1491.01"
"260","Olive Residues",1714,"Crops Primary","Olives",1,NA,"70990","70992","1450"
"260","Table olives",1714,"Crops Primary","Olives",1,NA,"70990","70992","1450"
"260","Olives",1714,"Crops Primary","Olives",1,NA,"70990","70992","1450"
"263","Karite Nuts (Sheanuts)",1714,"Crops Primary","Karite nuts (sheanuts)",1,NA,"120799","120799","1499.01"
"265","Castor oil seed",1714,"Crops Primary","Castor oil seed",1,NA,"120799","120730","1447"
"265","Oil of Castor Beans",1714,"Crops Primary","Castor oil seed",1,NA,"120799","120730","1447"
"265","Castor",1714,"Crops Primary","Castor oil seed",1,NA,"120799","120730","1447"
"267","Sunflower seed",1714,"Crops Primary","Sunflower seed",1,NA,"120600","120600","1445"
"267","Sunflower stover per t of grain",1714,"Crops Primary","Sunflower seed",1,NA,"120600","120600","1445"
"267","Sunflower grain",1714,"Crops Primary","Sunflower seed",1,NA,"120600","120600","1445"
"267","Sunflower",1714,"Crops Primary","Sunflower seed",1,NA,"120600","120600","1445"
"267","Sunflower stover",1714,"Crops Primary","Sunflower seed",1,NA,"120600","120600","1445"
"27","Rice, paddy",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Rice straw",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Brown rice",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Rice  total  (Rice milled equivalent)",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Rice husk",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Paddy husk",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Paddy rice",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Rice",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Rice paddy straw",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"27","Rice grain",1714,"Crops Primary","Rice, paddy",1,NA,"100610","100610","113"
"270","Rape",1714,"Crops Primary","Rapeseed",1,NA,"120510, 120590","120510, 120590","1443"
"270","Rapeseed",1714,"Crops Primary","Rapeseed",1,NA,"120510, 120590","120510, 120590","1443"
"270","Canola",1714,"Crops Primary","Rapeseed",1,NA,"120510, 120590","120510, 120590","1443"
"275","Tung Nuts",1714,"Crops Primary","Tung nuts",1,NA,"120799","120799","1499.02"
"277","Jojoba Seeds",1714,"Crops Primary","Jojoba seed",1,NA,"120799","120799","1499.03"
"277","Jojoba seed",1714,"Crops Primary","Jojoba seed",1,NA,"120799","120799","1499.03"
"280","Safflower seed",1714,"Crops Primary","Safflower seed",1,NA,"120799","120760","1446"
"280","Safflower",1714,"Crops Primary","Safflower seed",1,NA,"120799","120760","1446"
"289","Sesame seed",1714,"Crops Primary","Sesame seed",1,NA,"120740","120740","1444"
"289","Sesame",1714,"Crops Primary","Sesame seed",1,NA,"120740","120740","1444"
"289","Sesameseed",1714,"Crops Primary","Sesame seed",1,NA,"120740","120740","1444"
"292","Mustard",1714,"Crops Primary","Mustard seed",1,NA,"120750","120750","1442"
"292","Brown mustard",1714,"Crops Primary","Mustard seed",1,NA,"120750","120750","1442"
"292","Mustard seed",1714,"Crops Primary","Mustard seed",1,NA,"120750","120750","1442"
"296","Poppy seed",1714,"Crops Primary","Poppy seed",1,NA,"120791","120791","1448"
"299","Melonseed",1714,"Crops Primary","Melonseed",1,NA,"120799","120770","1449.01"
"305","Tallowtree Seeds",1714,"Crops Primary","Tallowtree seed",1,NA,"120799","120799","1499.04"
"328","Seed cotton",1714,"Crops Primary","Seed cotton",1,NA,"520100","520100","1921.01"
"333","Linseed",1714,"Crops Primary","Linseed",1,NA,"120400","120400","1441"
"336","Hemp",1714,"Crops Primary","Hempseed",1,NA,"120799","120799","1449.02"
"336","Hempseed",1714,"Crops Primary","Hempseed",1,NA,"120799","120799","1449.02"
"339","Oil of Tung Nuts",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Oil of vegetable origin, nes",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Other oilseeds, for forage",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Oil of Kapok",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Oil of Jojoba",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Oilseeds; Nes",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Oilseeds, Nes",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Other oils",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"339","Oilseeds nes",1714,"Crops Primary","Oilseeds nes",1,NA,"120799","120799","1449.9"
"358","Cabbage, for forage",1714,"Crops Primary","Cabbages and other brassicas",1,NA,"070420, 070490","070420, 070490","1212"
"358","Cabbages and other brassicas",1714,"Crops Primary","Cabbages and other brassicas",1,NA,"070420, 070490","070420, 070490","1212"
"358","Cabbage",1714,"Crops Primary","Cabbages and other brassicas",1,NA,"070420, 070490","070420, 070490","1212"
"366","Artichokes",1714,"Crops Primary","Artichokes",1,NA,"70990","70991","1216"
"367","Asparagus",1714,"Crops Primary","Asparagus",1,NA,"70920","70920","1211"
"372","Rocket salad",1714,"Crops Primary","Lettuce and chicory",1,NA,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","1214"
"372","Lettuce and chicory",1714,"Crops Primary","Lettuce and chicory",1,NA,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","1214"
"372","Lettuce (heads)",1714,"Crops Primary","Lettuce and chicory",1,NA,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","1214"
"373","Spinach",1714,"Crops Primary","Spinach",1,NA,"70970","70970","1215"
"388","Tomato",1714,"Crops Primary","Tomatoes",1,NA,"70200","70200","1234"
"388","Tomatoes",1714,"Crops Primary","Tomatoes",1,NA,"70200","70200","1234"
"393","Cauliflowers and broccoli",1714,"Crops Primary","Cauliflowers and broccoli",1,NA,"70410","70410","1213"
"393","Cauliflower",1714,"Crops Primary","Cauliflowers and broccoli",1,NA,"70410","70410","1213"
"394","Pumpkins, squash and gourds",1714,"Crops Primary","Pumpkins, squash and gourds",1,NA,"70990","70993","1235"
"394","Pumpkins; squash and gourds",1714,"Crops Primary","Pumpkins, squash and gourds",1,NA,"70990","70993","1235"
"397","Cucumbers",1714,"Crops Primary","Cucumbers and gherkins",1,NA,"70700","70700","1232"
"397","Cucumbers and gherkins",1714,"Crops Primary","Cucumbers and gherkins",1,NA,"70700","70700","1232"
"399","Eggplants (aubergines)",1714,"Crops Primary","Eggplants (aubergines)",1,NA,"70930","70930","1233"
"401","Chillies and peppers, green",1714,"Crops Primary","Chillies and peppers, green",1,NA,"70960","70960","1231"
"401","Chillies and peppers; green",1714,"Crops Primary","Chillies and peppers, green",1,NA,"70960","70960","1231"
"401","Bell peppers",1714,"Crops Primary","Chillies and peppers, green",1,NA,"70960","70960","1231"
"402","Onion",1714,"Crops Primary","Onions, shallots, green",1,NA,"70310","70310","1253.01"
"402","Onions, shallots, green",1714,"Crops Primary","Onions, shallots, green",1,NA,"70310","70310","1253.01"
"402","Onions",1714,"Crops Primary","Onions, shallots, green",1,NA,"70310","70310","1253.01"
"402","Onions (inc. shallots); green",1714,"Crops Primary","Onions, shallots, green",1,NA,"70310","70310","1253.01"
"402","Onions (inc. shallots), green",1714,"Crops Primary","Onions, shallots, green",1,NA,"70310","70310","1253.01"
"403","Onions, dry",1714,"Crops Primary","Onions, dry",1,NA,"70310","70310","1253.02"
"403","Onions; dry",1714,"Crops Primary","Onions, dry",1,NA,"70310","70310","1253.02"
"406","Garlic",1714,"Crops Primary","Garlic",1,NA,"70320","70320","1252"
"407","Leeks, other alliaceous veg",1714,"Crops Primary","Leeks, other alliaceous vegetables",1,NA,"70390","70390","1254"
"407","Leeks, other alliaceous vegetables",1714,"Crops Primary","Leeks, other alliaceous vegetables",1,NA,"70390","70390","1254"
"407","Leeks; other alliaceous veg",1714,"Crops Primary","Leeks, other alliaceous vegetables",1,NA,"70390","70390","1254"
"414","Beans; green",1714,"Crops Primary","Beans, green",1,NA,"70820","70820","1241.9"
"414","Snap beans",1714,"Crops Primary","Beans, green",1,NA,"70820","70820","1241.9"
"414","Beans, green",1714,"Crops Primary","Beans, green",1,NA,"70820","70820","1241.9"
"417","Peas",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"417","Pigeon pea residue",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"417","Peas, green",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"417","Pigeon peas",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"417","Peas; green",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"417","Pigeon pea leaf",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"417","Pea",1714,"Crops Primary","Peas, green",1,NA,"70810","70810","1242"
"420","Vegetables, leguminous nes",1714,"Crops Primary","Vegetables, leguminous nes",1,NA,"70890","70890","1243"
"420","Faba bean",1714,"Crops Primary","Vegetables, leguminous nes",1,NA,"70890","70890","1243"
"420","Sesamum",1714,"Crops Primary","Vegetables, leguminous nes",1,NA,"70890","70890","1243"
"420","Leguminous vegetables; nes",1714,"Crops Primary","Vegetables, leguminous nes",1,NA,"70890","70890","1243"
"420","Leguminous vegetables, nes",1714,"Crops Primary","Vegetables, leguminous nes",1,NA,"70890","70890","1243"
"423","String beans",1714,"Crops Primary","String beans",1,NA,"70820","70820","1241.01"
"426","Turnips for Fodder",1714,"Crops Primary","Carrots and turnips",1,NA,"70610","70610","1251"
"426","Turnips",1714,"Crops Primary","Carrots and turnips",1,NA,"70610","70610","1251"
"426","Carrots, for forage",1714,"Crops Primary","Carrots and turnips",1,NA,"70610","70610","1251"
"426","Carrots and turnips",1714,"Crops Primary","Carrots and turnips",1,NA,"70610","70610","1251"
"426","Carrots",1714,"Crops Primary","Carrots and turnips",1,NA,"70610","70610","1251"
"430","Kenaf",1714,"Crops Primary","Okra",1,NA,"70990","70999","1239.01"
"430","Okra",1714,"Crops Primary","Okra",1,NA,"70990","70999","1239.01"
"44","Barley straw per t of grain",1714,"Crops Primary","Barley",1,NA,"100300","100310, 100390","115"
"44","Barley",1714,"Crops Primary","Barley",1,NA,"100300","100310, 100390","115"
"44","Barley grain",1714,"Crops Primary","Barley",1,NA,"100300","100310, 100390","115"
"44","barley",1714,"Crops Primary","Barley",1,NA,"100300","100310, 100390","115"
"44","Barley straw",1714,"Crops Primary","Barley",1,NA,"100300","100310, 100390","115"
"446","Maize; green",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Corn silage (35% dm)",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Corn silage (67% water) per t of grain",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Fodder maize",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Maize for forage and silage",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Corn silage (67% water)",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Maize for forage",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"446","Maize, green",1714,"Crops Primary","Maize, green",1,NA,"70990","70999","1290.01"
"449","Dried Mushrooms",1714,"Crops Primary","Mushrooms and truffles",1,NA,"070951, 070959","070951, 070959","1270"
"449","Mushrooms and truffles",1714,"Crops Primary","Mushrooms and truffles",1,NA,"070951, 070959","070951, 070959","1270"
"459","Chicory roots",1714,"Crops Primary","Chicory roots",1,NA,"121299","121294","1691"
"461","Carobs",1714,"Crops Primary","Carobs",1,NA,"121299","121292","1356"
"463","Vegetables fresh nes",1714,"Crops Primary","Vegetables, fresh nes",1,NA,"070690, 070940, 070990","070690, 070940, 070999","1290.9"
"463","Sesbania grandifolia",1714,"Crops Primary","Vegetables, fresh nes",1,NA,"070690, 070940, 070990","070690, 070940, 070999","1290.9"
"463","Other vegetables",1714,"Crops Primary","Vegetables, fresh nes",1,NA,"070690, 070940, 070990","070690, 070940, 070999","1290.9"
"463","Vegetables",1714,"Crops Primary","Vegetables, fresh nes",1,NA,"070690, 070940, 070990","070690, 070940, 070999","1290.9"
"486","Banana",1714,"Crops Primary","Bananas",1,NA,"80300","80390","1312"
"486","Bananas",1714,"Crops Primary","Bananas",1,NA,"80300","80390","1312"
"489","Plantains",1714,"Crops Primary","Plantains and others",1,NA,"80300","80310","1313"
"489","Plantain",1714,"Crops Primary","Plantains and others",1,NA,"80300","80310","1313"
"489","Plantains and others",1714,"Crops Primary","Plantains and others",1,NA,"80300","80310","1313"
"490","Oranges",1714,"Crops Primary","Oranges",1,NA,"80510","80510","1323"
"495","Tangerines, mandarins, clementines, satsumas",1714,"Crops Primary","Tangerines, mandarins, clementines, satsumas",1,NA,"80520","80520","1324"
"495","Tangerines, mandarins, clem.",1714,"Crops Primary","Tangerines, mandarins, clementines, satsumas",1,NA,"80520","80520","1324"
"495","Tangerines; mandarins; clem.",1714,"Crops Primary","Tangerines, mandarins, clementines, satsumas",1,NA,"80520","80520","1324"
"497","Lemons and limes",1714,"Crops Primary","Lemons and limes",1,NA,"80550","80550","1322"
"507","Grapefruit (inc. pomelos)",1714,"Crops Primary","Grapefruit (inc. pomelos)",1,NA,"80540","80540","1321"
"512","Citrus fruit, nes",1714,"Crops Primary","Fruit, citrus nes",1,NA,"80590","80590","1329"
"512","Citrus fruits",1714,"Crops Primary","Fruit, citrus nes",1,NA,"80590","80590","1329"
"512","Fruit, citrus nes",1714,"Crops Primary","Fruit, citrus nes",1,NA,"80590","80590","1329"
"512","Citrus",1714,"Crops Primary","Fruit, citrus nes",1,NA,"80590","80590","1329"
"512","Citrus fruit; nes",1714,"Crops Primary","Fruit, citrus nes",1,NA,"80590","80590","1329"
