Item Group Code,Item Group,Item Code,Item,Factor,HS Code,HS07 Code,HS12 Code,CPC Code
QL,Livestock primary,982,"Milk, whole fresh sheep",1,,"040120, 040130","040120, 040140, 040150",2291
QL,Livestock primary,948,"Offals, edible, buffaloes",1,,"020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400",21152
QL,Livestock primary,1128,"Offals, edible, camels",1,,20890,20860,21159.02
QL,Livestock primary,868,"Offals, edible, cattle",1,,"020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400",21151
QL,Livestock primary,1018,"Offals, edible, goats",1,,"020680, 020690, 050400","020680, 020690, 050400",21156
QL,Livestock primary,1098,"Offals, horses",1,,"020680, 020690","020680, 020690",21159.01
QL,Livestock primary,1036,"Offals, pigs, edible",1,,"020630, 020641, 020649, 050400","020630, 020641, 020649, 050400",21153
QL,Livestock primary,978,"Offals, sheep,edible",1,,"020680, 020690, 050400","020680, 020690, 050400",21155
QL,Livestock primary,1083,"Pigeons, other birds",1,,"010631, 010632, 010639","010631, 010632, 010639",2194
QL,Livestock primary,1807,Sheep and Goat Meat,1,,,,F1807
QL,Livestock primary,1185,"Silk-worm cocoons, reelable",1,,500100,500100,2944
QL,Livestock primary,1025,"Skins, goat, fresh",1,,410390,410390,2954
QL,Livestock primary,995,"Skins, sheep, fresh",1,,"410210, 410229","410210, 410229",2953
QL,Livestock primary,1176,"Snails, not sea",1,,30760,30760,2920
QL,Livestock primary,987,"Wool, greasy",1,,"510111, 510119","510111, 510119",2941
QP,Livestock processed,1811,Butter and Ghee,1,,,,F1811
QP,Livestock processed,983,"Butter and ghee, sheep milk",1,,"040510, 040520, 040590","040510, 040520, 040590",22249.01
QP,Livestock processed,952,"Butter, buffalo milk",1,,"040510, 040520","040510, 040520",22242.01
QP,Livestock processed,886,"Butter, cow milk",1,,"040510, 040520","040510, 040520",22241.01
QP,Livestock processed,1022,"Butter, goat milk",1,,"040510, 040520, 040590","040510, 040520, 040590",22249.02
QP,Livestock processed,1745,Cheese (All Kinds),1,,,,F1745
QP,Livestock processed,955,"Cheese, buffalo milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22252
QP,Livestock processed,1021,"Cheese, goat milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22254
QP,Livestock processed,984,"Cheese, sheep milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22253
QP,Livestock processed,904,"Cheese, skimmed cow milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22251.02
QP,Livestock processed,901,"Cheese, whole cow milk",1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22251.01
QP,Livestock processed,885,Cream fresh,1,,"040120, 040130","040120, 040140, 040150",22120
QP,Livestock processed,1816,Evaporat&Condensed Milk,1,,,,F1816
QP,Livestock processed,953,"Ghee, buffalo milk",1,,40590,40590,22242.02
QP,Livestock processed,887,"Ghee, butteroil of cow milk",1,,40590,40590,22241.02
QP,Livestock processed,1043,Lard,1,,150100,"150110, 150120",21521
QP,Livestock processed,899,"Milk, dry buttermilk",1,,40390,40390,22230.04
QP,Livestock processed,896,"Milk, skimmed condensed",1,,40299,40299,22222.02
QP,Livestock processed,888,"Milk, skimmed cow",1,,"040110, 040120","040110, 040120",22110.02
QP,Livestock processed,898,"Milk, skimmed dried",1,,40210,40210,22212
QP,Livestock processed,895,"Milk, skimmed evaporated",1,,40291,40291,22221.02
QP,Livestock processed,889,"Milk, whole condensed",1,,40299,40299,22222.01
QP,Livestock processed,897,"Milk, whole dried",1,,"040221, 040229","040221, 040229",22211
QP,Livestock processed,894,"Milk, whole evaporated",1,,40291,40291,22221.01
QP,Livestock processed,1186,"Silk, raw",1,,500200,500200,26110
QP,Livestock processed,1809,"Skim Milk&Buttermilk,Dry",1,,,,F1809
QP,Livestock processed,1225,Tallow,1,,150200,150210,21523
QP,Livestock processed,890,"Whey, condensed",1,,40410,40410,22130.03
QP,Livestock processed,900,"Whey, dry",1,,40410,40410,22130.02
QP,Livestock processed,891,Yoghurt,1,,40310,40310,22230.01
1808,"Meat, Poultry",1089,"Meat, bird nes",1,,20890,20890,21170.01
1808,"Meat, Poultry",1058,"Meat, chicken",1,,"020711, 020712, 020713, 020714, 020732, 020733, 020735, 020736","020711, 020712, 020713, 020714, 020760",21121
1808,"Meat, Poultry",1069,"Meat, duck",1,,"020732, 020733, 020735, 020736","020741, 020742, 020744, 020745",21122
1808,"Meat, Poultry",1073,"Meat, goose and guinea fowl",1,,"020732, 020733, 020735, 020736","020751, 020752, 020754, 020755",21123
1808,"Meat, Poultry",1080,"Meat, turkey",1,,"020724, 020725, 020726, 020727","020724, 020725, 020726, 020727",21124
1765,"Meat, Total",1166,Meat nes,1,,"020830, 020840, 020850, 020890","020830, 020840, 020850, 020890",21170.92
1765,"Meat, Total",1108,"Meat, ass",1,,20500,20500,21118.02
1765,"Meat, Total",1089,"Meat, bird nes",1,,20890,20890,21170.01
1765,"Meat, Total",947,"Meat, buffalo",1,,"020110, 020120, 020130, 020210, 020220, 020230","020110, 020120, 020130, 020210, 020220, 020230",21112
1765,"Meat, Total",1127,"Meat, camel",1,,20890,20860,21117.01
1765,"Meat, Total",867,"Meat, cattle",1,,"020110, 020120, 020210, 020220","020110, 020120, 020210, 020220",21111.01
1765,"Meat, Total",1058,"Meat, chicken",1,,"020711, 020712, 020713, 020714, 020732, 020733, 020735, 020736","020711, 020712, 020713, 020714, 020760",21121
1765,"Meat, Total",1069,"Meat, duck",1,,"020732, 020733, 020735, 020736","020741, 020742, 020744, 020745",21122
1765,"Meat, Total",1163,"Meat, game",1,,20890,20890,21170.02
1765,"Meat, Total",1017,"Meat, goat",1,,20450,20450,21116
1765,"Meat, Total",1073,"Meat, goose and guinea fowl",1,,"020732, 020733, 020735, 020736","020751, 020752, 020754, 020755",21123
1765,"Meat, Total",1097,"Meat, horse",1,,20500,20500,21118.01
1765,"Meat, Total",1111,"Meat, mule",1,,20500,20500,21118.03
1765,"Meat, Total",1158,"Meat, other camelids",1,,20890,20860,21117.02
1765,"Meat, Total",1151,"Meat, other rodents",1,,20890,20890,21119.01
1765,"Meat, Total",1035,"Meat, pig",1,,"020311, 020312, 020319, 020321, 020322, 020329","020311, 020312, 020319, 020321, 020322, 020329",21113.01
1765,"Meat, Total",1141,"Meat, rabbit",1,,20810,20810,21114
1765,"Meat, Total",977,"Meat, sheep",1,,"020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443",21115
1765,"Meat, Total",1080,"Meat, turkey",1,,"020724, 020725, 020726, 020727","020724, 020725, 020726, 020727",21124
1765,"Meat, Total",1083,"Pigeons, other birds",1,,"010631, 010632, 010639","010631, 010632, 010639",2194
1765,"Meat, Total",1176,"Snails, not sea",1,,30760,30760,2920
1780,"Milk, Total",951,"Milk, whole fresh buffalo",1,,"040120, 040130","040120, 040140, 040150",2212
1780,"Milk, Total",1130,"Milk, whole fresh camel",1,,"040120, 040130","040120, 040140, 040150",2293
1780,"Milk, Total",882,"Milk, whole fresh cow",1,,"040120, 040130","040120, 040140, 040150",2211
1780,"Milk, Total",1020,"Milk, whole fresh goat",1,,"040120, 040130","040120, 040140, 040150",2292
1780,"Milk, Total",982,"Milk, whole fresh sheep",1,,"040120, 040130","040120, 040140, 040150",2291
1730,Oilcrops Primary,265,Castor oil seed,1,,120799,120730,1447
1730,Oilcrops Primary,249,Coconuts,1,,80119,"080112, 080119",1460
1730,Oilcrops Primary,242,"Groundnuts, with shell",1,,"120210, 120220","120230, 120241",142
1730,Oilcrops Primary,336,Hempseed,1,,120799,120799,1449.02
1730,Oilcrops Primary,277,Jojoba seed,1,,120799,120799,1499.03
1730,Oilcrops Primary,310,Kapok fruit,1,,120799,120799,1499.05
1730,Oilcrops Primary,263,Karite nuts (sheanuts),1,,120799,120799,1499.01
1730,Oilcrops Primary,333,Linseed,1,,120400,120400,1441
1730,Oilcrops Primary,299,Melonseed,1,,120799,120770,1449.01
1730,Oilcrops Primary,292,Mustard seed,1,,120750,120750,1442
1730,Oilcrops Primary,254,Oil palm fruit,1,,120799,120710,1491.01
1730,Oilcrops Primary,339,Oilseeds nes,1,,120799,120799,1449.9
1730,Oilcrops Primary,260,Olives,1,,70990,70992,1450
1730,Oilcrops Primary,296,Poppy seed,1,,120791,120791,1448
1730,Oilcrops Primary,270,Rapeseed,1,,"120510, 120590","120510, 120590",1443
1730,Oilcrops Primary,280,Safflower seed,1,,120799,120760,1446
1730,Oilcrops Primary,328,Seed cotton,1,,520100,520100,1921.01
1730,Oilcrops Primary,289,Sesame seed,1,,120740,120740,1444
1730,Oilcrops Primary,236,Soybeans,1,,120100,"120110, 120190",141
1730,Oilcrops Primary,267,Sunflower seed,1,,120600,120600,1445
1730,Oilcrops Primary,305,Tallowtree seed,1,,120799,120799,1499.04
1730,Oilcrops Primary,275,Tung nuts,1,,120799,120799,1499.02
1841,"Oilcrops, Cake Equivalent",249,Coconuts,0.08,,80119,"080112, 080119",1460
1841,"Oilcrops, Cake Equivalent",242,"Groundnuts, with shell",0.38,,"120210, 120220","120230, 120241",142
1841,"Oilcrops, Cake Equivalent",336,Hempseed,0.65,,120799,120799,1449.02
1841,"Oilcrops, Cake Equivalent",310,Kapok fruit,0.3696,,120799,120799,1499.05
1841,"Oilcrops, Cake Equivalent",333,Linseed,0.63,,120400,120400,1441
1841,"Oilcrops, Cake Equivalent",299,Melonseed,0.6,,120799,120770,1449.01
1841,"Oilcrops, Cake Equivalent",292,Mustard seed,0.58,,120750,120750,1442
1841,"Oilcrops, Cake Equivalent",254,Oil palm fruit,0.0312,,120799,120710,1491.01
1841,"Oilcrops, Cake Equivalent",339,Oilseeds nes,0.6,,120799,120799,1449.9
1841,"Oilcrops, Cake Equivalent",296,Poppy seed,0.5,,120791,120791,1448
1841,"Oilcrops, Cake Equivalent",270,Rapeseed,0.6,,"120510, 120590","120510, 120590",1443
1841,"Oilcrops, Cake Equivalent",280,Safflower seed,0.63,,120799,120760,1446
1841,"Oilcrops, Cake Equivalent",328,Seed cotton,0.3213,,520100,520100,1921.01
1841,"Oilcrops, Cake Equivalent",289,Sesame seed,0.51,,120740,120740,1444
1841,"Oilcrops, Cake Equivalent",236,Soybeans,0.79,,120100,"120110, 120190",141
1841,"Oilcrops, Cake Equivalent",267,Sunflower seed,0.47,,120600,120600,1445
1732,"Oilcrops, Oil Equivalent",265,Castor oil seed,0.4,,120799,120730,1447
1732,"Oilcrops, Oil Equivalent",249,Coconuts,0.13,,80119,"080112, 080119",1460
1732,"Oilcrops, Oil Equivalent",242,"Groundnuts, with shell",0.3,,"120210, 120220","120230, 120241",142
1732,"Oilcrops, Oil Equivalent",336,Hempseed,0.24,,120799,120799,1449.02
1732,"Oilcrops, Oil Equivalent",277,Jojoba seed,0.35,,120799,120799,1499.03
1732,"Oilcrops, Oil Equivalent",310,Kapok fruit,0.0924,,120799,120799,1499.05
1732,"Oilcrops, Oil Equivalent",263,Karite nuts (sheanuts),0.25,,120799,120799,1499.01
1732,"Oilcrops, Oil Equivalent",333,Linseed,0.35,,120400,120400,1441
1732,"Oilcrops, Oil Equivalent",299,Melonseed,0.3,,120799,120770,1449.01
1732,"Oilcrops, Oil Equivalent",292,Mustard seed,0.36,,120750,120750,1442
1732,"Oilcrops, Oil Equivalent",254,Oil palm fruit,0.2176,,120799,120710,1491.01
1732,"Oilcrops, Oil Equivalent",339,Oilseeds nes,0.3,,120799,120799,1449.9
1732,"Oilcrops, Oil Equivalent",260,Olives,0.22,,70990,70992,1450
1732,"Oilcrops, Oil Equivalent",296,Poppy seed,0.45,,120791,120791,1448
1732,"Oilcrops, Oil Equivalent",270,Rapeseed,0.38,,"120510, 120590","120510, 120590",1443
1732,"Oilcrops, Oil Equivalent",280,Safflower seed,0.35,,120799,120760,1446
1732,"Oilcrops, Oil Equivalent",328,Seed cotton,0.1008,,520100,520100,1921.01
1732,"Oilcrops, Oil Equivalent",289,Sesame seed,0.43,,120740,120740,1444
1732,"Oilcrops, Oil Equivalent",236,Soybeans,0.18,,120100,"120110, 120190",141
1732,"Oilcrops, Oil Equivalent",267,Sunflower seed,0.41,,120600,120600,1445
1732,"Oilcrops, Oil Equivalent",305,Tallowtree seed,0.3,,120799,120799,1499.04
1732,"Oilcrops, Oil Equivalent",275,Tung nuts,0.16,,120799,120799,1499.02
2029,Poultry Birds,1057,Chickens,1,,"010511, 010519, 010594, 010599","010511, 010515, 010594, 010599",2151
2029,Poultry Birds,1068,Ducks,1,,"010519, 010599","010513, 010599",2154
2029,Poultry Birds,1072,Geese and guinea fowls,1,,"010519, 010599","010514, 010599",2153
2029,Poultry Birds,1083,"Pigeons, other birds",1,,"010631, 010632, 010639","010631, 010632, 010639",2194
2029,Poultry Birds,1079,Turkeys,1,,"010512, 010599","010512, 010599",2152
1726,"Pulses, Total",203,Bambara beans,1,,71339,71334,1708
1726,"Pulses, Total",176,"Beans, dry",1,,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339",1701
1726,"Pulses, Total",181,"Broad beans, horse beans, dry",1,,71350,71350,1702
1726,"Pulses, Total",191,Chick peas,1,,71320,71320,1703
1726,"Pulses, Total",195,"Cow peas, dry",1,,71339,71335,1706
1726,"Pulses, Total",201,Lentils,1,,71340,71340,1704
1726,"Pulses, Total",210,Lupins,1,,121490,121490,1709.02
1726,"Pulses, Total",187,"Peas, dry",1,,71310,71310,1705
1726,"Pulses, Total",197,Pigeon peas,1,,71390,71360,1707
1726,"Pulses, Total",211,Pulses nes,1,,71390,71390,1709.9
1726,"Pulses, Total",205,Vetches,1,,121490,121490,1709.01
1720,"Roots and Tubers, Total",125,Cassava,1,,71410,71410,1520.01
1720,"Roots and Tubers, Total",116,Potatoes,1,,"070110, 070190","070110, 070190",1510
1720,"Roots and Tubers, Total",149,Roots and tubers nes,1,,71490,71490,1599.1
1720,"Roots and Tubers, Total",122,Sweet potatoes,1,,71420,71420,1530
1720,"Roots and Tubers, Total",136,Taro (cocoyam),1,,71490,71440,1550
1720,"Roots and Tubers, Total",137,Yams,1,,71490,71430,1540
1720,"Roots and Tubers, Total",135,Yautia (cocoyam),1,,71490,71450,1591
1807,Sheep and Goat Meat,1017,"Meat, goat",1,,20450,20450,21116
1807,Sheep and Goat Meat,977,"Meat, sheep",1,,"020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443","020410, 020421, 020422, 020423, 020430, 020441, 020442, 020443",21115
1749,Sheep and Goats,1016,Goats,1,,10420,10420,2123
1749,Sheep and Goats,976,Sheep,1,,10410,10410,2122
1809,"Skim Milk&Buttermilk,Dry",899,"Milk, dry buttermilk",1,,40390,40390,22230.04
1809,"Skim Milk&Buttermilk,Dry",898,"Milk, skimmed dried",1,,40210,40210,22212
1723,Sugar Crops Primary,157,Sugar beet,1,,121291,121291,1801
1723,Sugar Crops Primary,156,Sugar cane,1,,121299,121293,1802
1723,Sugar Crops Primary,161,Sugar crops nes,1,,121299,121299,1809
1729,"Treenuts, Total",221,"Almonds, with shell",1,,80211,80211,1371
1729,"Treenuts, Total",216,"Brazil nuts, with shell",1,,80121,80121,1377
1729,"Treenuts, Total",217,"Cashew nuts, with shell",1,,80131,80131,1372
1729,"Treenuts, Total",220,Chestnut,1,,80240,"080241, 080242",1373
1729,"Treenuts, Total",225,"Hazelnuts, with shell",1,,80221,80221,1374
1729,"Treenuts, Total",234,Nuts nes,1,,"080260, 080290","080261, 080262, 080290",1379.9
1729,"Treenuts, Total",223,Pistachios,1,,80250,"080251, 080252",1375
1729,"Treenuts, Total",222,"Walnuts, with shell",1,,80231,80231,1376
1735,Vegetables Primary,366,Artichokes,1,,70990,70991,1216
1735,Vegetables Primary,367,Asparagus,1,,70920,70920,1211
1735,Vegetables Primary,414,"Beans, green",1,,70820,70820,1241.9
1735,Vegetables Primary,358,Cabbages and other brassicas,1,,"070420, 070490","070420, 070490",1212
1735,Vegetables Primary,426,Carrots and turnips,1,,70610,70610,1251
1735,Vegetables Primary,378,Cassava leaves,1,,70990,70999,1219.01
1735,Vegetables Primary,393,Cauliflowers and broccoli,1,,70410,70410,1213
1735,Vegetables Primary,401,"Chillies and peppers, green",1,,70960,70960,1231
1735,Vegetables Primary,397,Cucumbers and gherkins,1,,70700,70700,1232
1735,Vegetables Primary,399,Eggplants (aubergines),1,,70930,70930,1233
1735,Vegetables Primary,406,Garlic,1,,70320,70320,1252
1735,Vegetables Primary,407,"Leeks, other alliaceous vegetables",1,,70390,70390,1254
1735,Vegetables Primary,372,Lettuce and chicory,1,,"070511, 070519, 070521, 070529","070511, 070519, 070521, 070529",1214
1735,Vegetables Primary,446,"Maize, green",1,,70990,70999,1290.01
1735,Vegetables Primary,449,Mushrooms and truffles,1,,"070951, 070959","070951, 070959",1270
1735,Vegetables Primary,430,Okra,1,,70990,70999,1239.01
1735,Vegetables Primary,403,"Onions, dry",1,,70310,70310,1253.02
1735,Vegetables Primary,402,"Onions, shallots, green",1,,70310,70310,1253.01
1735,Vegetables Primary,417,"Peas, green",1,,70810,70810,1242
1735,Vegetables Primary,394,"Pumpkins, squash and gourds",1,,70990,70993,1235
1735,Vegetables Primary,373,Spinach,1,,70970,70970,1215
1735,Vegetables Primary,423,String beans,1,,70820,70820,1241.01
1735,Vegetables Primary,388,Tomatoes,1,,70200,70200,1234
1735,Vegetables Primary,463,"Vegetables, fresh nes",1,,"070690, 070940, 070990","070690, 070940, 070999",1290.9
1735,Vegetables Primary,420,"Vegetables, leguminous nes",1,,70890,70890,1243
