"country","iso3_code","original_region"
"Portugal","PRT","European Union and United Kingdom"
"Qatar","QAT","Middle East"
"R<e9>union",NA,"East Africa"
"Romania","ROU","Eastern Europe"
"Romania","ROU","European Union and United Kingdom"
"Russia","RUS","Eastern Europe"
"Russia","RUS","Former USSR"
"Rwanda","RWA","East Africa"
"Saint Helena, Ascension and Tristan da Cunha","SHN","West Africa"
"Samoa","WSM","Oceania"
"Saudi Arabia","SAU","Middle East"
"Senegal","SEN","West Africa"
"Seychelles","SYC","East Africa"
"Sierra Leone","SLE","West Africa"
"Singapore","SGP","Southeast Asia"
"Singapore","SGP","South and South East Asia"
"Slovakia","SVK","Eastern Europe"
"Slovakia","SVK","OECD Europe"
"Slovakia","SVK","European Union and United Kingdom"
"Slovenia","SVN","European Union and United Kingdom"
"Solomon Islands","SLB","Oceania"
"Somalia","SOM","East Africa"
"South Africa","ZAF","Southern Africa"
"South Sudan","SSD","East Africa"
"South Sudan","SSD","North Africa"
"Spain","ESP","OECD Europe"
"Spain","ESP","European Union and United Kingdom"
"Sri Lanka","LKA","South Asia"
"Sudan","SDN","North Africa"
"Swaziland","SWZ","Southern Africa"
"Sweden","SWE","OECD Europe"
"Sweden","SWE","European Union and United Kingdom"
"Switzerland","CHE","OECD Europe"
"Syrian Arab Republic","SYR","Middle East"
"Taiwan","TWN","East Asia"
"Taiwan","TWN","Southeast Asia"
"Taiwan","TWN","South and South East Asia"
"Tajikistan","TJK","Former USSR"
"Tanzania, United Republic of","TZA","East Africa"
"Thailand","THA","Southeast Asia"
"Thailand","THA","South and South East Asia"
"Timor-Leste","TLS","Southeast Asia"
"Timor-Leste","TLS","South and South East Asia"
"Togo","TGO","West Africa"
"Tokelau","TKL","Oceania"
"Tonga","TON","Oceania"
"Tunisia","TUN","North Africa"
"Turkey","TUR","Middle East"
"Turkmenistan","TKM","Former USSR"
"Tuvalu","TUV","Oceania"
"Uganda","UGA","East Africa"
"Ukraine","UKR","Eastern Europe"
"Ukraine","UKR","Former USSR"
"United Arab Emirates","ARE","Middle East"
"United Kingdom","GBR","OECD Europe"
"United Kingdom","GBR","European Union and United Kingdom"
"United States","USA","USA"
"United States","USA","United States of America"
"United States","USA","North America"
"United States Minor Outlying Islands","UMI","Oceania"
"United States Minor Outlying Islands","UMI","USA"
"United States Minor Outlying Islands","UMI","United States of America"
"United States Minor Outlying Islands","UMI","North America"
"Uzbekistan","UZB","Former USSR"
"Vanuatu","VUT","Oceania"
"Vietnam","VNM","Southeast Asia"
"Vietnam","VNM","South and South East Asia"
"Virgin Islands, U.S.","VIR","USA"
"Virgin Islands, U.S.","VIR","United States of America"
"Virgin Islands, U.S.","VIR","North America"
"Wallis and Futuna","WLF","Oceania"
"Western Sahara","ESH","North Africa"
"Yemen","YEM","Middle East"
"Zambia","ZMB","East Africa"
"Zimbabwe","ZWE","East Africa"
