"country","iso3_code","original_region"
"Uganda","UGA","East Africa"
"Ukraine","UKR","Eastern Europe| Former USSR"
"United Arab Emirates","ARE","Middle East"
"United Kingdom","GBR","OECD Europe| European Union and United Kingdom"
"United States","USA","USA| United States of America| North America"
"United States Minor Outlying Islands","UMI","Oceania| USA| United States of America| North America"
"Uzbekistan","UZB","Former USSR"
"Vanuatu","VUT","Oceania"
"Vietnam","VNM","Southeast Asia| South and South East Asia"
"Virgin Islands, U.S.","VIR","USA| United States of America| North America"
"Wallis and Futuna","WLF","Oceania"
"Western Sahara","ESH","North Africa"
"Yemen","YEM","Middle East"
"Zambia","ZMB","East Africa"
"Zimbabwe","ZWE","East Africa"
