"item","item_code","item_group_code","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","DM_pc","N_pc","P_pc","K_pc"
"Melons, other (inc.cantaloupes)",568,1714,2.2,0.484,1.494,NA,NA,NA,NA
"Melonseed",299,1714,38.56,10.56,31.872,NA,3.34,NA,NA
"Millet",79,1714,22.9033333333333,3.9112,5.9112,87.5,1.74725715,0.31344155,0.675565714285714
"Mushrooms and truffles",449,1714,9.28,NA,NA,NA,2.67,NA,NA
"Mustard seed",292,1714,40.92,9.24,27.888,NA,3.542,0.6,NA
"Nutmeg, mace and cardamoms",702,1714,14.4266666666667,1.31,15.77,NA,2.67,NA,NA
"Nuts nes",234,1714,11.2,NA,NA,NA,2.67,NA,NA
"Oats",75,1714,21.6780466906143,3.726,4.71175,89,1.949025487,0.418651685393258,0.529410112359551
"Oil palm fruit",254,1714,3.916,0.68,4.7475,NA,2.43,0.34,NA
"Oilseeds nes",339,1714,17.69,4.78666666666667,24.984,91,3.34,0.526007326007326,2.74549450549451
"Okra",430,1714,2.865,0.510666666666667,3.403,NA,2.67,NA,NA
"Olives",260,1714,6.7,7.67466666666667,6.99966666666667,35,2.67,2.1927619047619,1.99990476190476
"Onions, dry",403,1714,2.44,0.584,1.992,NA,2.67,NA,NA
"Onions, shallots, green",402,1714,2.43,0.510666666666667,1.77066666666667,NA,2.67,NA,NA
"Oranges",490,1714,3.15,0.413333333333333,3.50933333333333,NA,1.184,0.23,NA
"Papayas",600,1714,79.5466666666667,17.876,144.42,NA,2.67,NA,NA
"Peaches and nectarines",534,1714,2.65,0.525333333333333,2.93266666666667,18,2.67,0.291851851851852,1.62925925925926
"Pears",521,1714,2.335,0.486666666666667,2.36966666666667,18,2.67,0.27037037037037,1.31648148148148
"Peas, dry",187,1714,39,8.73333333333333,9.798,NA,4.21,NA,NA
"Peas, green",417,1714,16.7,3.3,9.96,44.11,2.891,0.2926,1.0624
"Pepper (piper spp.)",687,1714,12.2,1.31,15.77,NA,2.67,NA,NA
"Peppermint",748,1714,11.425,1.29866666666667,11.786,NA,2.67,NA,NA
"Persimmons",587,1714,0.96,NA,NA,NA,2.67,NA,NA
"Pigeon peas",197,1714,NA,NA,NA,NA,3.748125937,NA,NA
"Pineapples",574,1714,1.03,0.132,1.494,NA,2.67,NA,NA
"Pistachios",223,1714,16.48,NA,NA,NA,2.67,NA,NA
"Plantains and others",489,1714,3.976,0.353,4.48125,65.3,1.17,0.16,0.686255742725881
"Plums and sloes",536,1714,2.4,NA,NA,NA,2.67,NA,NA
"Poppy seed",296,1714,28.9,6.38,19.256,NA,3.59,0.98,NA
"Potatoes",116,1714,2.735,0.804,5.698,21.6,0.87,0.05,2.63796296296296
"Pulses nes",211,1714,26.0666666666667,4.23,13.186,85,3.6158946374,0.265333333333333,1.66
"Pumpkins, squash and gourds",394,1714,3.05,0.428,3.83133333333333,NA,2.495,0.26,NA
"Pyrethrum, dried",754,1714,14.6666666666667,1.31,15.77,NA,2.112,0.24,NA
"Quinces",523,1714,0.32,NA,NA,NA,2.67,NA,NA
"Quinoa",92,1714,17.1,2.2,4.15,NA,2.432,0.41,NA
"Ramie",788,1714,4.02,1.1,3.32,NA,NA,NA,NA
"Rapeseed",270,1714,31.8096551722,7.04,6.64,91,3.4080689655,0.645,0.72967032967033
"Raspberries",547,1714,1.44,NA,NA,NA,2.67,NA,NA
"Rice, paddy",27,1714,12.4393231957143,2.8696,2.9756,88.5,1.276850075,0.27,0.336225988700565
"Roots and tubers nes",149,1714,4.365,0.3,2.9,27,0.742,0.18,1.07407407407407
"Rubber, natural",836,1714,6.5,1.218,4.0135,100,0,0,0.40135
"Rye",71,1714,22.12,3.417,4.375,88,1.8734752625,0.35,0.497159090909091
"Safflower seed",280,1714,35.055,5.32933333333333,23.324,NA,2.64498350833333,NA,NA
"Seed cotton",328,1714,58.5,11.624,31.5133333333333,NA,3.34,NA,NA
"Sesame seed",289,1714,25.74,5.118,9.6665,94,3.3456251875,0.59,1.02835106382979
"Sisal",789,1714,5,1.1,3.32,NA,NA,NA,NA
"Sorghum",83,1714,14.0317455560714,3.8328,4.3528,87,1.6317751125,0.2804,1.411
"Soybeans",236,1714,55.903683872,6.328,17.114,88,6.130787856,0.555,1.94477272727273
"Spices nes",723,1714,13.745,1.09333333333333,11.1496666666667,NA,NA,NA,NA
"Spinach",373,1714,4.265,0.569333333333333,4.15,NA,2.67,NA,NA
"Strawberries",544,1714,6.98666666666667,1.744,8.3,NA,2.67,NA,NA
"String beans",423,1714,2.98,0.748,2.241,NA,4.21,NA,NA
"Sugar beet",157,1714,2.29666666666667,0.5784,3.813,26,0.669333333333333,0.135,1.46653846153846
"Sugar cane",156,1714,3.67428571428571,0.3052,1.4044,23.2,0.22,0.04,0.605344827586207
"Sugar crops nes",161,1714,0,NA,NA,NA,1.04,0.24,NA
"Sunflower seed",267,1714,25.5666224035714,4.0872,7.088,92,2.8036251875,0.525,0.770434782608696
"Sweet potatoes",122,1714,3.764,0.832,7.22,27.2,0.59,0.09,2.65441176470588
"Tallowtree seed",305,1714,NA,NA,NA,NA,3.34,NA,NA
"Tangerines, mandarins, clementines, satsumas",495,1714,1.9,0.44,1.328,NA,1.264,NA,NA
"Taro (cocoyam)",136,1714,3.7,1.1,3.32,NA,0.864,0.44,NA
"Tea",667,1714,19.3666666666667,2.925,15.219,52.5,7.8,1.5,2.89885714285714
"Tobacco, unmanufactured",826,1714,39.8333333333333,5.532,47.57,21,0.3,0.06,22.652380952381
"Tomatoes",388,1714,1.32,0.2056,2.4035,20,2.671,0.1028,1.20175
"Triticale",97,1714,17.28,2.86,4.15,89,1.872,0.39,0.466292134831461
"Tung nuts",275,1714,48,NA,NA,NA,3.34,NA,NA
"Vanilla",692,1714,11.3333333333333,1.31,15.77,NA,2.67,NA,NA
"Vegetables, fresh nes",463,1714,5.62,0.9,2.6,7,1.435,0.03,3.71428571428571
"Vegetables, leguminous nes",420,1714,13.5815092466667,1.1,3.32,86,4.1536307,0.5433824,0.386046511627907
"Vetches",205,1714,32.35,3.74,18.5146666666667,NA,3.76930034966667,0.33,2.075
"Walnuts, with shell",222,1714,25.635,4.696,12.0073333333333,NA,2.67,NA,NA
"Watermelons",567,1714,1.4,0.22,0.664,NA,2.67,NA,NA
"Wheat",15,1714,20.6875824590625,3.84333333333333,4.6165,88.6666666666667,2.00498350833333,0.35,0.520657894736842
"Yams",137,1714,3.64,1.144,3.486,NA,1.232,NA,NA
"Yautia (cocoyam)",135,1714,3.86,1.1,3.32,NA,NA,NA,NA
