"item","item_code","original_crop"
"Rye","71","Rye| Rye grain"
"Safflower seed","280","Safflower| Safflower seed"
"Seed cotton","328","Seed cotton"
"Sesame seed","289","Sesame| Sesame seed| Sesameseed"
"Sisal","789","Sisal"
"Sorghum","83","Forage sorghum (30% dm)| Sorghum| Sorghum-29| Sorghum-sudan  (DM)| Sorghum-sudan (50% dm)| Sorghum grain| Sorghum stover| Sorghum stover per t of grain| Sorghum sudan| Sorghum Sudan"
"Soybeans","236","Soybean| Soybean grain| Soybean stover| Soybean stover per t of grain| Soybeans"
"Spices nes","723","Spices, nes"
"Spinach","373","Spinach"
"Strawberries","544","Strawberries"
"String beans","423","String beans"
"Sugar beet","157","Sugar beet| Sugar beets| Sugar beets tops| Sugarbeet root| Sugarbeet top| Table beets"
"Sugar cane","156","Bagasse| Sugar-cane| Sugar cane| Sugar cane bagasse| Sugarcane| Sugarcane leaf"
"Sugar crops nes","161","Sugar crops, nes| Sugar crops; nes| Sugar, nes"
"Sunflower seed","267","Sunflower| Sunflower grain| Sunflower seed| Sunflower stover| Sunflower stover per t of grain"
"Sweet potatoes","122","Sweet potato| Sweet Potato| Sweet potatoes"
"Tallowtree seed","305","Tallowtree Seeds"
"Tangerines, mandarins, clementines, satsumas","495","Tangerines, mandarins, clem.| Tangerines, mandarins, clementines, satsumas| Tangerines; mandarins; clem."
"Taro (cocoyam)","136","Taro (cocoyam)"
"Tea","667","Extracts Tea, Mate, Prep| Tea"
"Tobacco, unmanufactured","826","Tobacco| Tobacco leaves| Tobacco, flue-cured| Tobacco, unmanufactured"
"Tomatoes","388","Tomatoes"
"Triticale","97","Triticale"
"Tung nuts","275","Tung Nuts"
"Vanilla","692","Vanilla"
"Vegetables, fresh nes","463","Other vegetables| Sesbania grandifolia| Vegetables| Vegetables fresh nes"
"Vegetables, leguminous nes","420","Faba bean| Leguminous vegetables, nes| Leguminous vegetables; nes| Vegetables, leguminous nes"
"Vetches","205","Vetch| Vetch  (DM)| Vetches"
"Walnuts, with shell","222","Walnuts, with shell| Walnuts; with shell"
"Watermelons","567","Watermelons"
"Wheat","15","Durum wheat| Meslin| Soft wheat| Spring wheat| Wheat| Wheat (spring) grain| Wheat (winter) grain| Wheat straw| Wheat straw per t of grain| Winter wheat"
"Yams","137","Yams"
"Yautia (cocoyam)","135","Yautia (cocoyam)"
